"Title","Price","Beds","Baths","Area"
"34 The Prado NE, Atlanta, GA 30309","$1,495,000","4 bds","4 ba","3,644 sqft"
"2060 Shirley St SW, Atlanta, GA 30311","$225,000","3 bds","2 ba","1,300 sqft"
"300 Peachtree St NE APT 11G, Atlanta, GA 30308","$259,000","2 bds","2 ba","890 sqft"
"1690 Memorial Dr SE, Atlanta, GA 30317","$320,000","2 bds","1 ba","1,163 sqft"
"6253 Old Kingston Dr, South Fulton, GA","$349,275","5 bds","3 ba","-- sqft"
"2870 Pharr South Court Ct NW # 205, Atlanta, GA 30305","$284,900","2 bds","2 ba","-- sqft"
"6253 Old Kingston Dr # 37, Atlanta, GA 30331","$349,275","5 bds","3 ba","-- sqft"
"943 Peachtree St NE UNIT 1415, Atlanta, GA 30309","$249,900","1 bd","1 ba","768 sqft"
"175 Wynfield Way SW, Atlanta, GA 30331","$457,900","4 bds","4 ba","3,624 sqft"
"2973 Margaret Mitchell Ct NW, Atlanta, GA 30327","$1,435,000","5 bds","5 ba","4,483 sqft"
"50 Valley Rd NW, Atlanta, GA 30305","$10,850,000","6 bds","10 ba","11,380 sqft"
"696 Center Hill Ave NW, Atlanta, GA 30318","$125,000","2 bds","1 ba","1,320 sqft"
"2875 Benjamin E Mays Dr SW, Atlanta, GA 30311","$429,000","5 bds","4 ba","2,551 sqft"
"711 Broadland Rd NW, Atlanta, GA 30327","$3,986,700","7 bds","9 ba","10,652 sqft"
"970 Sidney Marcus Blvd NE UNIT 1103, Atlanta, GA 30324","$209,900","2 bds","2 ba","1,165 sqft"
"3502 Redwine Pkwy SW, Atlanta, GA 30331","$270,000","4 bds","3 ba","2,490 sqft"
"861 Sylvan Pl SW, Atlanta, GA 30310","$250,000","3 bds","2 ba","1,648 sqft"
"210 Walker St SW UNIT 5, Atlanta, GA 30313","$199,999","1 bd","1 ba","885 sqft"
"1149 Mobile St NW, Atlanta, GA 30314","$260,000","4 bds","2 ba","1,627 sqft"
"1488 Sandrock Ln SW, Atlanta, GA 30331","$272,900","4 bds","3 ba","2,786 sqft"
